Order,State,Substate Region,"Small 
Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
182,Maryland,Maryland,7.76%,6.66%,9.03%,3
183,Maryland,Anne Arundel,7.67%,5.69%,10.27%,4
184,Maryland,Baltimore City,9.99%,7.67%,12.91%,4
185,Maryland,Baltimore County,7.80%,5.80%,10.43%,4
186,Maryland,Montgomery,6.91%,5.06%,9.36%,4
187,Maryland,North Central,6.43%,4.65%,8.83%,4
188,Maryland,Northeast,7.81%,5.79%,10.45%,4
189,Maryland,Prince George's,8.55%,6.56%,11.08%,4
190,Maryland,South,6.55%,4.79%,8.90%,4
191,Maryland,West,7.95%,5.87%,10.67%,4
192,Massachusetts,Massachusetts,10.77%,9.39%,12.32%,3
193,Massachusetts,Boston,13.12%,10.27%,16.61%,4
194,Massachusetts,Central,10.70%,8.16%,13.91%,4
195,Massachusetts,Metrowest,10.00%,7.81%,12.72%,4
196,Massachusetts,Northeast,10.04%,7.87%,12.72%,4
197,Massachusetts,Southeast,10.95%,8.64%,13.79%,4
198,Massachusetts,Western,10.77%,8.32%,13.82%,4
199,Michigan,Michigan,9.74%,9.00%,10.54%,3
200,Michigan,Region 1,9.58%,7.29%,12.48%,4
201,Michigan,Region 2,8.39%,6.34%,11.01%,4
202,Michigan,Region 3,9.16%,7.60%,11.01%,4
203,Michigan,Region 4,10.24%,8.29%,12.58%,4
204,Michigan,Region 5,10.08%,8.69%,11.65%,4
205,Michigan,Region 6,8.40%,6.84%,10.27%,4
206,Michigan,Region 7,11.13%,9.46%,13.05%,4
207,Michigan,Region 8,8.14%,6.63%,9.96%,4
208,Michigan,Region 9,9.87%,8.05%,12.04%,4
209,Michigan,Region 10,11.15%,9.13%,13.56%,4
210,Minnesota,Minnesota,6.84%,5.82%,8.02%,3
211,Minnesota,Regions 1 and 2,6.14%,4.38%,8.55%,4
212,Minnesota,Regions 3 and 4,6.76%,5.11%,8.90%,4
213,Minnesota,Regions 5 and 6,6.50%,4.88%,8.63%,4
214,Minnesota,Region 7A (Hennepin),7.40%,5.66%,9.60%,4
215,Minnesota,Region 7B (Ramsey),8.61%,6.25%,11.75%,4
216,Minnesota,Region 7C,6.16%,4.81%,7.87%,4
217,Mississippi,Mississippi,5.54%,4.68%,6.55%,3
218,Mississippi,Region 1,5.64%,4.29%,7.38%,4
219,Mississippi,Region 2,5.86%,4.38%,7.79%,4
220,Mississippi,Region 3,4.80%,3.56%,6.44%,4
221,Mississippi,Region 4,6.18%,4.72%,8.05%,4
222,Mississippi,Region 5,4.93%,3.45%,7.00%,4
223,Mississippi,Region 6,4.95%,3.61%,6.75%,4
224,Mississippi,Region 7,5.69%,4.17%,7.72%,4
225,Missouri,Missouri,7.20%,6.12%,8.45%,3
226,Missouri,Central,7.15%,5.54%,9.19%,4
227,Missouri,Eastern,7.44%,6.01%,9.19%,5
228,Missouri,Eastern (St. Louis City and County),8.30%,6.42%,10.67%,4
229,Missouri,Eastern (excluding St. Louis),5.97%,4.48%,7.91%,4
230,Missouri,Northwest,8.05%,6.34%,10.19%,5
231,Missouri,Northwest (Jackson),9.27%,6.86%,12.40%,4
232,Missouri,Northwest (excluding Jackson),7.03%,5.13%,9.58%,4
233,Missouri,Southeast,5.48%,3.93%,7.59%,4
234,Missouri,Southwest,6.66%,4.91%,8.98%,4
235,Montana,Montana,10.46%,9.07%,12.03%,3
236,Montana,Region 1,7.88%,5.59%,11.01%,4
237,Montana,Region 2,10.69%,8.12%,13.95%,4
238,Montana,Region 3,10.26%,7.99%,13.07%,4
239,Montana,Region 4,10.23%,8.15%,12.78%,4
240,Montana,Region 5,11.34%,9.07%,14.08%,4
241,Nebraska,Nebraska,5.97%,5.04%,7.06%,3
242,Nebraska,Regions 1 and 2,6.09%,4.47%,8.25%,5
243,Nebraska,Region 1,6.13%,4.20%,8.86%,4
244,Nebraska,Region 2,6.06%,4.13%,8.81%,4
245,Nebraska,Region 3,5.33%,3.96%,7.14%,4
246,Nebraska,Region 4,4.93%,3.50%,6.90%,4
247,Nebraska,Region 5,5.60%,4.33%,7.22%,4
248,Nebraska,Region 6,6.63%,5.32%,8.23%,4
249,Nevada,Nevada,7.94%,6.67%,9.42%,3
250,Nevada,Clark - Region 1,7.60%,6.19%,9.30%,4
251,Nevada,Region 3,7.82%,5.83%,10.40%,5
252,Nevada,Capital District,8.30%,5.68%,11.99%,4
253,Nevada,Rural/Frontier,7.37%,5.15%,10.45%,4
254,Nevada,Washoe - Region 2,9.58%,7.36%,12.39%,4
255,New Hampshire,New Hampshire,10.92%,9.62%,12.37%,3
256,New Hampshire,Central,11.67%,9.77%,13.88%,4
257,New Hampshire,Central 1,13.20%,10.63%,16.27%,5
258,New Hampshire,Central 2,10.18%,7.87%,13.08%,5
259,New Hampshire,Northern,12.40%,9.47%,16.08%,4
260,New Hampshire,Southern,10.22%,8.73%,11.93%,4
261,New Hampshire,Southern 1 (Rockingham),9.04%,7.14%,11.37%,5
262,New Hampshire,Southern 2,10.96%,9.01%,13.27%,5
263,New Jersey,New Jersey,6.01%,5.06%,7.12%,3
264,New Jersey,Central,5.32%,4.02%,7.01%,4
265,New Jersey,Metropolitan,5.56%,4.23%,7.28%,4
266,New Jersey,Northern,6.19%,4.74%,8.06%,4
267,New Jersey,Southern,6.99%,5.43%,8.95%,4
268,New Mexico,New Mexico,9.61%,8.21%,11.23%,3
269,New Mexico,Region 1,8.99%,6.82%,11.76%,4
270,New Mexico,Region 2,8.76%,6.44%,11.81%,4
271,New Mexico,Region 3 (Bernalillo),12.00%,9.65%,14.83%,4
272,New Mexico,Region 4,7.72%,5.72%,10.35%,4
273,New Mexico,Region 5,8.15%,6.16%,10.70%,4
274,New York,New York,8.59%,7.90%,9.34%,3
275,New York,Region A,8.43%,7.46%,9.50%,4
276,New York,Region 1,7.05%,5.59%,8.85%,5
277,New York,Region 2,9.60%,8.00%,11.47%,5
278,New York,Region 3,9.75%,7.82%,12.08%,5
279,New York,Region 4,6.74%,5.32%,8.49%,5
280,New York,Region B,8.74%,7.60%,10.02%,4
281,New York,Region 5,8.94%,7.40%,10.76%,5
282,New York,Region 6,8.22%,6.44%,10.44%,5
283,New York,Region 7,8.89%,6.93%,11.33%,5
284,New York,Region C,8.53%,7.58%,9.59%,4
285,New York,Region 8,9.68%,7.74%,12.04%,5
286,New York,Region 9,7.72%,6.15%,9.65%,5
287,New York,Region 10,9.49%,7.22%,12.38%,5
288,New York,Region 11,8.64%,6.93%,10.71%,5
289,New York,Region 12,7.73%,6.16%,9.65%,5
290,New York,Region D,9.21%,7.80%,10.85%,4
291,New York,Region 13,9.95%,7.66%,12.81%,5
292,New York,Region 14,8.03%,6.07%,10.56%,5
293,New York,Region 15,9.74%,7.52%,12.52%,5
294,North Carolina,North Carolina,6.51%,5.52%,7.67%,3
295,North Carolina,Alliance Behavioral Healthcare 1,6.91%,5.11%,9.29%,4
296,North Carolina,Alliance Behavioral Healthcare 2,5.68%,4.07%,7.89%,4
297,North Carolina,Cardinal Innovations Healthcare Solutions 1,6.29%,4.50%,8.73%,4
298,North Carolina,Cardinal Innovations Healthcare Solutions 2,6.59%,4.86%,8.88%,4
299,North Carolina,Cardinal Innovations Healthcare Solutions 3,7.22%,5.23%,9.89%,4
300,North Carolina,CenterPoint Human Services,5.98%,4.31%,8.23%,4
301,North Carolina,Eastpointe,5.19%,3.72%,7.19%,4
302,North Carolina,Partners Behavioral Health Management,6.64%,4.84%,9.05%,4
303,North Carolina,Sandhills Center 1,6.19%,4.29%,8.85%,4
304,North Carolina,Sandhills Center 2,7.27%,5.31%,9.89%,4
305,North Carolina,Smoky Mountain Center 1,6.81%,4.86%,9.47%,4
306,North Carolina,Smoky Mountain Center 2,6.43%,4.49%,9.12%,4
307,North Carolina,Trillium Healthcare Resources 1,6.69%,4.80%,9.24%,4
308,North Carolina,Trillium Healthcare Resources 2,7.68%,5.51%,10.60%,4
309,North Dakota,North Dakota,5.58%,4.72%,6.59%,3
310,North Dakota,Badlands and West Central,4.93%,3.75%,6.45%,4
311,North Dakota,Lake Region,4.14%,2.85%,5.99%,4
312,North Dakota,North Central,5.67%,4.16%,7.69%,4
313,North Dakota,Northeast,7.27%,5.56%,9.44%,4
314,North Dakota,Northwest,5.81%,3.98%,8.39%,4
315,North Dakota,South Central,4.67%,3.24%,6.70%,4
316,North Dakota,Southeast,5.91%,4.65%,7.49%,4
317,Ohio,Ohio,7.37%,6.74%,8.05%,3
318,Ohio,"Boards 2, 46, 55, and 68",6.30%,4.65%,8.49%,4
319,Ohio,"Boards 3, 52, and 85",6.06%,4.53%,8.07%,4
320,Ohio,Boards 4 and 78,7.29%,5.35%,9.86%,4
321,Ohio,Boards 5 and 60,8.83%,6.84%,11.34%,4
322,Ohio,"Boards 7, 15, 41, 79, and 84",5.67%,4.23%,7.57%,4
323,Ohio,"Boards 8, 13, and 83",5.57%,4.18%,7.37%,4
324,Ohio,Board 9 (Butler),7.20%,5.43%,9.49%,4
325,Ohio,Board 12,7.28%,5.44%,9.67%,4
326,Ohio,Boards 18 and 47,7.10%,5.87%,8.57%,4
327,Ohio,"Boards 20, 32, 54, and 69",5.70%,4.22%,7.66%,4
328,Ohio,"Boards 21, 39, 51, 70, and 80",5.49%,4.18%,7.19%,4
329,Ohio,"Boards 22, 74, and 87",6.48%,4.83%,8.64%,4
330,Ohio,Boards 23 and 45,6.95%,5.28%,9.08%,4
331,Ohio,Board 25 (Franklin),10.61%,8.76%,12.81%,4
332,Ohio,"Boards 27, 71, and 73",7.34%,5.47%,9.77%,4
333,Ohio,"Boards 28, 43, and 67",6.75%,5.26%,8.63%,4
334,Ohio,Board 31 (Hamilton),8.37%,6.62%,10.53%,4
335,Ohio,Board 48 (Lucas),8.12%,6.12%,10.69%,4
336,Ohio,Boards 50 and 76,6.62%,5.12%,8.52%,4
337,Ohio,Board 57 (Montgomery),7.20%,5.47%,9.42%,4
338,Ohio,Board 77 (Summit),8.81%,6.79%,11.35%,4
339,Oklahoma,Oklahoma,6.08%,5.08%,7.27%,3
340,Oklahoma,Central,6.50%,4.82%,8.71%,4
341,Oklahoma,East Central,5.16%,3.67%,7.21%,4
342,Oklahoma,Northeast,5.42%,3.94%,7.41%,4
343,Oklahoma,Northwest and Southwest,6.07%,4.39%,8.34%,4
344,Oklahoma,Oklahoma County,7.02%,5.29%,9.26%,4
345,Oklahoma,Southeast,4.32%,3.04%,6.10%,4
346,Oklahoma,Tulsa County,7.32%,5.43%,9.79%,4
347,Oregon,Oregon,12.19%,10.69%,13.87%,3
348,Oregon,Region 1 (Multnomah),13.32%,10.57%,16.64%,4
349,Oregon,Region 2,12.56%,10.02%,15.62%,4
350,Oregon,Region 3,12.03%,9.83%,14.64%,4
351,Oregon,Region 4,11.79%,8.83%,15.58%,4
352,Oregon,Region 5 (Central),10.65%,7.65%,14.64%,4
353,Oregon,Region 6 (Eastern),10.23%,7.22%,14.28%,4
354,Pennsylvania,Pennsylvania,6.84%,6.24%,7.49%,3
355,Pennsylvania,Region 1 (Allegheny),7.91%,6.43%,9.70%,4
356,Pennsylvania,"Regions 3, 8, 9, and 51",6.82%,5.42%,8.55%,4
357,Pennsylvania,"Regions 4, 11, 37, and 49",6.34%,4.95%,8.10%,4
358,Pennsylvania,"Regions 5, 18, 23, 24, and 46",5.30%,4.08%,6.87%,4
359,Pennsylvania,"Regions 6, 12, 16, 31, 35, 45, and 47",6.96%,5.57%,8.68%,4
360,Pennsylvania,"Regions 7, 13, 20, and 33",6.70%,5.58%,8.02%,4
361,Pennsylvania,"Regions 10, 15, 27, 32, 43, and 44",5.57%,4.19%,7.37%,4
362,Pennsylvania,Regions 17 and 21,6.20%,4.67%,8.19%,4
363,Pennsylvania,"Regions 19, 26, 28, and 42",5.50%,4.48%,6.75%,4
364,Pennsylvania,"Regions 22, 38, 40, 41, and 48",4.27%,3.23%,5.64%,4
365,Pennsylvania,Regions 29 and 34,7.41%,5.63%,9.70%,4
366,Pennsylvania,Regions 30 and 50,6.44%,4.91%,8.39%,4
367,Pennsylvania,Region 36 (Philadelphia),10.44%,8.66%,12.53%,4
368,Rhode Island,Rhode Island,13.47%,11.94%,15.16%,3
369,Rhode Island,Bristol and Newport,14.45%,11.07%,18.63%,4
370,Rhode Island,Kent,14.23%,11.15%,17.98%,4
371,Rhode Island,Providence,12.77%,10.93%,14.87%,4
372,Rhode Island,Washington,14.85%,11.81%,18.50%,4
373,South Carolina,South Carolina,7.02%,5.97%,8.24%,3
374,South Carolina,Region 1,6.98%,5.38%,9.01%,4
375,South Carolina,Region 2,7.10%,5.53%,9.08%,4
376,South Carolina,Region 3,6.99%,5.24%,9.27%,4
377,South Carolina,Region 4,7.01%,5.48%,8.93%,4
378,South Dakota,South Dakota,5.14%,4.28%,6.16%,3
379,South Dakota,Region 1,5.46%,4.08%,7.26%,4
380,South Dakota,Region 2,5.29%,3.63%,7.65%,4
381,South Dakota,Region 3,4.79%,3.63%,6.29%,4
382,South Dakota,Region 4,5.41%,3.95%,7.35%,4
383,South Dakota,Region 5,4.97%,3.79%,6.49%,4
384,Tennessee,Tennessee,5.29%,4.40%,6.35%,3
385,Tennessee,Region 1,4.75%,3.32%,6.76%,4
386,Tennessee,Region 2,4.76%,3.49%,6.46%,4
387,Tennessee,Region 3,4.77%,3.49%,6.48%,4
388,Tennessee,Region 4 (Davidson),6.00%,4.33%,8.25%,4
389,Tennessee,Region 5,6.12%,4.61%,8.09%,4
390,Tennessee,Region 6,4.69%,3.36%,6.51%,4
391,Tennessee,Region 7 (Shelby),5.36%,3.91%,7.29%,4
392,Texas,Texas,5.62%,5.13%,6.16%,3
393,Texas,Region 1,6.08%,4.64%,7.93%,4
394,Texas,Region 2,6.40%,4.70%,8.67%,4
395,Texas,Region 3,5.67%,4.90%,6.55%,4
396,Texas,Region 3a,5.48%,4.55%,6.58%,5
397,Texas,Region 3bc,6.00%,4.87%,7.37%,5
398,Texas,Region 4,5.17%,3.88%,6.84%,4
399,Texas,Region 5,5.98%,4.51%,7.89%,4
400,Texas,Region 6,5.15%,4.35%,6.09%,4
401,Texas,Region 6a,5.02%,4.17%,6.03%,5
402,Texas,Region 6bc,6.24%,4.60%,8.42%,5
403,Texas,Region 7,7.44%,6.25%,8.83%,4
404,Texas,Region 7a,8.37%,6.73%,10.35%,5
405,Texas,Region 7bcd,5.84%,4.56%,7.44%,5
406,Texas,Region 8,5.93%,4.78%,7.34%,4
407,Texas,Region 9,6.08%,4.50%,8.17%,4
408,Texas,Region 10,4.23%,3.25%,5.49%,4
409,Texas,Region 11,3.93%,3.16%,4.87%,4
410,Texas,Region 11abd,4.18%,3.20%,5.45%,5
411,Texas,Region 11c (Hidalgo),3.49%,2.59%,4.68%,5
412,Utah,Utah,5.39%,4.53%,6.41%,3
413,Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",4.49%,3.26%,6.16%,4
414,Utah,"Central, Four Corners, San Juan, and Southwest",4.89%,3.45%,6.89%,4
415,Utah,Davis County,4.72%,3.38%,6.56%,4
416,Utah,Salt Lake County,6.61%,5.25%,8.29%,4
417,Utah,Utah County,4.39%,3.24%,5.92%,4
418,Utah,"Weber, Morgan",4.89%,3.43%,6.93%,4
419,Vermont,Vermont,13.01%,11.46%,14.73%,3
420,Vermont,Champlain Valley,13.87%,11.82%,16.20%,4
421,Vermont,Rural Northeast,12.68%,10.03%,15.91%,4
422,Vermont,Rural Southeast,13.01%,10.21%,16.44%,4
423,Vermont,Rural Southwest,11.31%,8.66%,14.65%,4
424,Virginia,Virginia,6.40%,5.45%,7.50%,3
425,Virginia,Region 1,7.80%,5.97%,10.12%,4
426,Virginia,Region 2,5.04%,3.81%,6.63%,4
427,Virginia,Region 3,6.83%,5.25%,8.84%,4
428,Virginia,Region 4,6.15%,4.64%,8.11%,4
429,Virginia,Region 5,6.99%,5.42%,8.96%,4
430,Washington,Washington,12.74%,11.26%,14.40%,3
431,Washington,Region 1,10.53%,8.45%,13.04%,4
432,Washington,Greater Columbia and North Central,8.90%,6.68%,11.77%,5
433,Washington,Spokane,12.89%,9.75%,16.86%,5
434,Washington,Region 2,14.31%,12.29%,16.58%,4
435,Washington,King,12.74%,10.45%,15.44%,5
436,Washington,North Sound,17.06%,13.70%,21.04%,5
437,Washington,Region 3,12.01%,10.06%,14.28%,4
438,Washington,Peninsula,12.91%,9.35%,17.56%,5
439,Washington,Pierce,12.23%,9.33%,15.85%,5
440,Washington,SW WA and Timberlands,10.74%,8.17%,14.01%,5
441,Washington,Thurston-Mason,13.27%,9.65%,17.99%,5
442,West Virginia,West Virginia,5.76%,4.84%,6.84%,3
443,West Virginia,Region I,4.89%,3.37%,7.04%,4
444,West Virginia,Region II,5.89%,4.29%,8.04%,4
445,West Virginia,Region III,4.45%,3.03%,6.48%,4
446,West Virginia,Region IV,7.17%,5.61%,9.11%,4
447,West Virginia,Region V,5.77%,4.40%,7.52%,4
448,West Virginia,Region VI,4.98%,3.66%,6.73%,4
449,Wisconsin,Wisconsin,6.63%,5.62%,7.79%,3
