Order,State,Substate Region,"Small 
Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
126,Idaho,Region 6,28.77%,24.16%,33.85%,4
127,Idaho,Region 7,32.84%,28.58%,37.39%,4
128,Illinois,Illinois,28.34%,26.98%,29.74%,3
129,Illinois,Region I (Cook),29.54%,27.54%,31.62%,4
130,Illinois,Region II,27.28%,25.15%,29.53%,4
131,Illinois,Region III,26.57%,23.83%,29.51%,4
132,Illinois,Region IV,30.18%,26.87%,33.72%,4
133,Illinois,Region V,27.43%,24.13%,31.00%,4
134,Indiana,Indiana,27.18%,24.85%,29.65%,3
135,Indiana,Central,24.87%,21.35%,28.75%,4
136,Indiana,East,28.84%,24.31%,33.85%,4
137,Indiana,North Central,28.30%,24.23%,32.77%,4
138,Indiana,Northeast,26.93%,22.38%,32.03%,4
139,Indiana,Northwest,30.91%,26.28%,35.95%,4
140,Indiana,Southeast,29.64%,24.73%,35.06%,4
141,Indiana,Southwest,25.89%,21.52%,30.79%,4
142,Indiana,West,24.96%,20.89%,29.52%,4
143,Iowa,Iowa,27.59%,25.20%,30.11%,3
144,Iowa,Central,25.14%,21.29%,29.42%,4
145,Iowa,North Central,26.01%,21.67%,30.87%,4
146,Iowa,Northeast,28.35%,24.62%,32.40%,4
147,Iowa,Northwest,29.85%,25.19%,34.97%,4
148,Iowa,Southeast,26.91%,23.17%,31.01%,4
149,Iowa,Southwest,29.87%,25.31%,34.88%,4
150,Kansas,Kansas,26.06%,23.83%,28.41%,3
151,Kansas,Kansas City Metro,24.48%,21.46%,27.77%,4
152,Kansas,Northeast,25.62%,21.73%,29.93%,4
153,Kansas,South Central,25.50%,21.60%,29.84%,4
154,Kansas,Southeast,27.06%,22.18%,32.56%,4
155,Kansas,West,31.38%,26.86%,36.28%,4
156,Kansas,Wichita (Sedgwick),26.28%,22.39%,30.59%,4
157,Kentucky,Kentucky,32.12%,29.64%,34.71%,3
158,Kentucky,"Adanta, Cumberland River, and Lifeskills",34.00%,29.50%,38.81%,4
159,Kentucky,"Bluegrass, Comprehend, and North Key",28.36%,24.89%,32.10%,4
160,Kentucky,Communicare and River Valley,34.90%,30.16%,39.95%,4
161,Kentucky,Four Rivers and Pennyroyal,35.95%,30.47%,41.82%,4
162,Kentucky,"Kentucky River, Mountain, and Pathways",37.40%,32.19%,42.92%,4
163,Kentucky,Seven Counties,29.97%,26.04%,34.21%,4
164,Louisiana,Louisiana,34.54%,32.10%,37.07%,3
165,Louisiana,Regions 1 and 10,32.06%,28.22%,36.17%,5
166,Louisiana,Region 1,29.44%,24.47%,34.95%,4
167,Louisiana,Region 10 (Jefferson),34.79%,29.90%,40.02%,4
168,Louisiana,Regions 2 and 9,33.43%,29.80%,37.27%,4
169,Louisiana,Region 3,35.30%,30.27%,40.67%,4
170,Louisiana,"Regions 4, 5, and 6",34.28%,30.32%,38.48%,4
171,Louisiana,Regions 7 and 8,38.48%,34.35%,42.79%,4
172,Maine,Maine,18.00%,15.94%,20.27%,3
173,Maine,Aroostook/Downeast,20.16%,16.97%,23.76%,5
174,Maine,Aroostook,23.56%,18.97%,28.85%,4
175,Maine,Downeast,17.39%,13.73%,21.78%,4
176,Maine,Central,18.79%,15.47%,22.63%,4
177,Maine,Cumberland,16.45%,13.45%,19.96%,4
178,Maine,Midcoast,17.23%,13.64%,21.53%,4
179,Maine,Penquis,17.27%,13.90%,21.25%,4
180,Maine,Western,20.63%,16.92%,24.92%,4
181,Maine,York,16.45%,13.16%,20.37%,4
182,Maryland,Maryland,28.36%,25.81%,31.05%,3
183,Maryland,Anne Arundel,25.50%,21.15%,30.40%,4
184,Maryland,Baltimore City,31.86%,27.11%,37.01%,4
185,Maryland,Baltimore County,26.83%,22.46%,31.70%,4
186,Maryland,Montgomery,29.35%,24.94%,34.18%,4
187,Maryland,North Central,24.68%,20.15%,29.86%,4
188,Maryland,Northeast,28.56%,23.68%,33.99%,4
189,Maryland,Prince George's,30.51%,26.00%,35.44%,4
190,Maryland,South,27.46%,23.13%,32.25%,4
191,Maryland,West,28.22%,23.72%,33.21%,4
192,Massachusetts,Massachusetts,20.25%,18.16%,22.52%,3
193,Massachusetts,Boston,19.36%,15.86%,23.41%,4
194,Massachusetts,Central,20.29%,16.63%,24.51%,4
195,Massachusetts,Metrowest,17.91%,14.90%,21.38%,4
196,Massachusetts,Northeast,23.15%,19.58%,27.15%,4
197,Massachusetts,Southeast,20.14%,16.74%,24.03%,4
198,Massachusetts,Western,21.06%,17.43%,25.23%,4
199,Michigan,Michigan,23.52%,22.28%,24.81%,3
200,Michigan,Region 1,20.66%,17.27%,24.53%,4
201,Michigan,Region 2,24.05%,20.22%,28.34%,4
202,Michigan,Region 3,23.05%,20.37%,25.98%,4
203,Michigan,Region 4,24.84%,21.73%,28.24%,4
204,Michigan,Region 5,23.10%,20.68%,25.71%,4
205,Michigan,Region 6,20.55%,17.82%,23.57%,4
206,Michigan,Region 7,26.09%,23.31%,29.09%,4
207,Michigan,Region 8,21.81%,19.09%,24.81%,4
208,Michigan,Region 9,25.56%,22.33%,29.08%,4
209,Michigan,Region 10,22.18%,19.19%,25.48%,4
210,Minnesota,Minnesota,24.08%,21.84%,26.49%,3
211,Minnesota,Regions 1 and 2,25.76%,21.14%,30.98%,4
212,Minnesota,Regions 3 and 4,25.30%,21.37%,29.69%,4
213,Minnesota,Regions 5 and 6,27.35%,23.25%,31.87%,4
214,Minnesota,Region 7A (Hennepin),22.19%,18.67%,26.16%,4
215,Minnesota,Region 7B (Ramsey),21.57%,17.48%,26.31%,4
216,Minnesota,Region 7C,22.63%,19.30%,26.36%,4
217,Mississippi,Mississippi,38.13%,35.54%,40.80%,3
218,Mississippi,Region 1,36.17%,32.08%,40.47%,4
219,Mississippi,Region 2,43.38%,38.41%,48.48%,4
220,Mississippi,Region 3,38.60%,33.98%,43.44%,4
221,Mississippi,Region 4,36.79%,32.09%,41.76%,4
222,Mississippi,Region 5,42.34%,36.55%,48.33%,4
223,Mississippi,Region 6,41.31%,36.60%,46.19%,4
224,Mississippi,Region 7,34.35%,29.48%,39.58%,4
225,Missouri,Missouri,27.56%,25.21%,30.05%,3
226,Missouri,Central,29.22%,24.94%,33.91%,4
227,Missouri,Eastern,25.95%,22.96%,29.18%,5
228,Missouri,Eastern (St. Louis City and County),24.89%,21.20%,28.99%,4
229,Missouri,Eastern (excluding St. Louis),27.75%,23.65%,32.26%,4
230,Missouri,Northwest,26.51%,23.07%,30.27%,5
231,Missouri,Northwest (Jackson),26.67%,22.31%,31.53%,4
232,Missouri,Northwest (excluding Jackson),26.38%,21.98%,31.31%,4
233,Missouri,Southeast,32.27%,27.57%,37.35%,4
234,Missouri,Southwest,27.77%,23.59%,32.37%,4
235,Montana,Montana,23.75%,21.39%,26.27%,3
236,Montana,Region 1,25.31%,20.72%,30.53%,4
237,Montana,Region 2,25.09%,21.19%,29.44%,4
238,Montana,Region 3,27.00%,23.31%,31.04%,4
239,Montana,Region 4,23.47%,19.81%,27.58%,4
240,Montana,Region 5,20.78%,17.52%,24.47%,4
241,Nebraska,Nebraska,26.82%,24.44%,29.35%,3
242,Nebraska,Regions 1 and 2,29.26%,24.98%,33.94%,5
243,Nebraska,Region 1,29.21%,24.06%,34.96%,4
244,Nebraska,Region 2,29.30%,23.97%,35.27%,4
245,Nebraska,Region 3,35.13%,30.39%,40.17%,4
246,Nebraska,Region 4,29.24%,24.45%,34.54%,4
247,Nebraska,Region 5,25.58%,22.18%,29.31%,4
248,Nebraska,Region 6,23.88%,20.69%,27.39%,4
249,Nevada,Nevada,27.33%,24.78%,30.04%,3
250,Nevada,Clark - Region 1,27.83%,24.93%,30.94%,4
251,Nevada,Region 3,28.44%,24.15%,33.16%,5
252,Nevada,Capital District,27.39%,21.98%,33.55%,4
253,Nevada,Rural/Frontier,29.40%,24.19%,35.21%,4
254,Nevada,Washoe - Region 2,24.15%,20.33%,28.44%,4
255,New Hampshire,New Hampshire,17.29%,15.47%,19.28%,3
256,New Hampshire,Central,16.97%,14.52%,19.73%,4
257,New Hampshire,Central 1,17.66%,14.54%,21.29%,5
258,New Hampshire,Central 2,16.29%,13.31%,19.78%,5
259,New Hampshire,Northern,17.26%,13.78%,21.42%,4
260,New Hampshire,Southern,17.45%,15.32%,19.81%,4
261,New Hampshire,Southern 1 (Rockingham),17.73%,14.79%,21.10%,5
262,New Hampshire,Southern 2,17.28%,14.70%,20.21%,5
263,New Jersey,New Jersey,30.72%,28.27%,33.28%,3
264,New Jersey,Central,27.88%,24.05%,32.05%,4
265,New Jersey,Metropolitan,32.52%,28.73%,36.55%,4
266,New Jersey,Northern,32.28%,28.45%,36.37%,4
267,New Jersey,Southern,29.36%,25.46%,33.59%,4
268,New Mexico,New Mexico,27.36%,25.01%,29.85%,3
269,New Mexico,Region 1,26.45%,22.79%,30.46%,4
270,New Mexico,Region 2,30.41%,25.78%,35.48%,4
271,New Mexico,Region 3 (Bernalillo),24.00%,20.60%,27.77%,4
272,New Mexico,Region 4,30.55%,26.32%,35.12%,4
273,New Mexico,Region 5,29.63%,25.76%,33.82%,4
274,New York,New York,27.87%,26.54%,29.24%,3
275,New York,Region A,31.05%,29.14%,33.03%,4
276,New York,Region 1,37.25%,33.55%,41.11%,5
277,New York,Region 2,31.23%,28.06%,34.58%,5
278,New York,Region 3,23.53%,20.31%,27.10%,5
279,New York,Region 4,32.72%,29.14%,36.51%,5
280,New York,Region B,26.81%,24.73%,28.99%,4
281,New York,Region 5,26.50%,23.71%,29.48%,5
282,New York,Region 6,28.29%,24.67%,32.20%,5
283,New York,Region 7,25.50%,21.72%,29.70%,5
284,New York,Region C,24.13%,22.34%,26.01%,4
285,New York,Region 8,22.74%,19.55%,26.27%,5
286,New York,Region 9,24.28%,21.14%,27.73%,5
287,New York,Region 10,21.83%,18.09%,26.11%,5
288,New York,Region 11,24.71%,21.44%,28.29%,5
289,New York,Region 12,25.59%,22.43%,29.03%,5
290,New York,Region D,25.41%,22.86%,28.13%,4
291,New York,Region 13,25.53%,21.64%,29.85%,5
292,New York,Region 14,24.60%,20.55%,29.15%,5
293,New York,Region 15,26.10%,22.31%,30.28%,5
294,North Carolina,North Carolina,30.46%,28.08%,32.95%,3
295,North Carolina,Alliance Behavioral Healthcare 1,30.03%,25.75%,34.69%,4
296,North Carolina,Alliance Behavioral Healthcare 2,23.83%,19.78%,28.41%,4
297,North Carolina,Cardinal Innovations Healthcare Solutions 1,30.23%,25.23%,35.74%,4
298,North Carolina,Cardinal Innovations Healthcare Solutions 2,31.06%,26.50%,36.01%,4
299,North Carolina,Cardinal Innovations Healthcare Solutions 3,28.35%,23.78%,33.41%,4
300,North Carolina,CenterPoint Human Services,33.73%,28.60%,39.27%,4
301,North Carolina,Eastpointe,37.38%,32.12%,42.97%,4
302,North Carolina,Partners Behavioral Health Management,32.02%,27.33%,37.10%,4
303,North Carolina,Sandhills Center 1,33.09%,27.69%,38.97%,4
304,North Carolina,Sandhills Center 2,26.80%,22.33%,31.78%,4
305,North Carolina,Smoky Mountain Center 1,32.58%,27.29%,38.35%,4
306,North Carolina,Smoky Mountain Center 2,30.86%,25.81%,36.41%,4
307,North Carolina,Trillium Healthcare Resources 1,30.03%,25.17%,35.38%,4
308,North Carolina,Trillium Healthcare Resources 2,28.55%,23.67%,33.99%,4
309,North Dakota,North Dakota,27.72%,25.43%,30.13%,3
310,North Dakota,Badlands and West Central,29.25%,25.65%,33.12%,4
311,North Dakota,Lake Region,35.32%,30.27%,40.72%,4
312,North Dakota,North Central,27.92%,23.83%,32.41%,4
313,North Dakota,Northeast,25.84%,21.92%,30.19%,4
314,North Dakota,Northwest,26.48%,21.77%,31.79%,4
315,North Dakota,South Central,31.14%,26.21%,36.54%,4
316,North Dakota,Southeast,24.68%,21.38%,28.31%,4
317,Ohio,Ohio,25.14%,23.84%,26.48%,3
318,Ohio,"Boards 2, 46, 55, and 68",29.03%,24.90%,33.54%,4
319,Ohio,"Boards 3, 52, and 85",27.00%,22.98%,31.42%,4
320,Ohio,Boards 4 and 78,27.15%,22.96%,31.79%,4
321,Ohio,Boards 5 and 60,23.42%,19.79%,27.49%,4
322,Ohio,"Boards 7, 15, 41, 79, and 84",30.01%,25.91%,34.45%,4
323,Ohio,"Boards 8, 13, and 83",25.30%,21.62%,29.37%,4
324,Ohio,Board 9 (Butler),21.71%,18.04%,25.89%,4
325,Ohio,Board 12,24.51%,20.42%,29.11%,4
326,Ohio,Boards 18 and 47,26.55%,23.74%,29.56%,4
327,Ohio,"Boards 20, 32, 54, and 69",28.08%,24.15%,32.38%,4
328,Ohio,"Boards 21, 39, 51, 70, and 80",26.58%,22.96%,30.55%,4
329,Ohio,"Boards 22, 74, and 87",22.69%,19.11%,26.72%,4
330,Ohio,Boards 23 and 45,25.86%,22.07%,30.06%,4
331,Ohio,Board 25 (Franklin),20.46%,17.79%,23.42%,4
332,Ohio,"Boards 27, 71, and 73",28.48%,24.46%,32.86%,4
333,Ohio,"Boards 28, 43, and 67",23.40%,19.77%,27.46%,4
334,Ohio,Board 31 (Hamilton),20.46%,17.38%,23.93%,4
335,Ohio,Board 48 (Lucas),25.29%,21.55%,29.44%,4
336,Ohio,Boards 50 and 76,29.65%,25.76%,33.86%,4
337,Ohio,Board 57 (Montgomery),24.82%,21.21%,28.83%,4
338,Ohio,Board 77 (Summit),22.88%,19.27%,26.95%,4
339,Oklahoma,Oklahoma,29.19%,26.75%,31.75%,3
340,Oklahoma,Central,24.80%,20.78%,29.31%,4
341,Oklahoma,East Central,30.55%,26.04%,35.46%,4
342,Oklahoma,Northeast,29.17%,24.78%,33.97%,4
343,Oklahoma,Northwest and Southwest,29.43%,24.75%,34.59%,4
344,Oklahoma,Oklahoma County,29.92%,25.84%,34.33%,4
345,Oklahoma,Southeast,33.15%,28.72%,37.90%,4
346,Oklahoma,Tulsa County,27.23%,23.14%,31.75%,4
347,Oregon,Oregon,18.29%,16.26%,20.52%,3
348,Oregon,Region 1 (Multnomah),15.81%,12.95%,19.17%,4
349,Oregon,Region 2,18.77%,15.65%,22.34%,4
350,Oregon,Region 3,18.69%,15.83%,21.93%,4
351,Oregon,Region 4,18.27%,14.75%,22.40%,4
352,Oregon,Region 5 (Central),19.76%,15.66%,24.63%,4
353,Oregon,Region 6 (Eastern),21.24%,17.00%,26.19%,4
354,Pennsylvania,Pennsylvania,28.10%,26.72%,29.52%,3
355,Pennsylvania,Region 1 (Allegheny),24.86%,21.86%,28.13%,4
356,Pennsylvania,"Regions 3, 8, 9, and 51",29.31%,25.48%,33.44%,4
357,Pennsylvania,"Regions 4, 11, 37, and 49",31.58%,27.90%,35.50%,4
358,Pennsylvania,"Regions 5, 18, 23, 24, and 46",32.36%,28.58%,36.39%,4
359,Pennsylvania,"Regions 6, 12, 16, 31, 35, 45, and 47",28.96%,25.34%,32.88%,4
360,Pennsylvania,"Regions 7, 13, 20, and 33",23.81%,21.23%,26.60%,4
361,Pennsylvania,"Regions 10, 15, 27, 32, 43, and 44",31.45%,27.26%,35.97%,4
362,Pennsylvania,Regions 17 and 21,28.58%,24.51%,33.04%,4
363,Pennsylvania,"Regions 19, 26, 28, and 42",29.17%,26.20%,32.33%,4
364,Pennsylvania,"Regions 22, 38, 40, 41, and 48",30.57%,26.66%,34.78%,4
365,Pennsylvania,Regions 29 and 34,27.65%,23.72%,31.97%,4
366,Pennsylvania,Regions 30 and 50,32.14%,28.11%,36.45%,4
367,Pennsylvania,Region 36 (Philadelphia),27.54%,24.44%,30.87%,4
368,Rhode Island,Rhode Island,21.18%,18.93%,23.62%,3
369,Rhode Island,Bristol and Newport,19.32%,15.61%,23.67%,4
370,Rhode Island,Kent,19.60%,15.97%,23.83%,4
371,Rhode Island,Providence,23.00%,20.20%,26.06%,4
372,Rhode Island,Washington,16.35%,13.10%,20.22%,4
373,South Carolina,South Carolina,31.36%,28.96%,33.85%,3
374,South Carolina,Region 1,31.88%,28.13%,35.87%,4
375,South Carolina,Region 2,29.28%,25.48%,33.38%,4
376,South Carolina,Region 3,30.58%,26.38%,35.13%,4
377,South Carolina,Region 4,33.16%,29.36%,37.19%,4
378,South Dakota,South Dakota,28.24%,25.95%,30.66%,3
379,South Dakota,Region 1,26.74%,23.14%,30.67%,4
380,South Dakota,Region 2,30.89%,26.20%,36.00%,4
381,South Dakota,Region 3,29.85%,26.05%,33.94%,4
382,South Dakota,Region 4,28.11%,23.71%,32.97%,4
383,South Dakota,Region 5,27.42%,24.08%,31.03%,4
384,Tennessee,Tennessee,32.71%,30.24%,35.27%,3
385,Tennessee,Region 1,33.50%,28.27%,39.17%,4
386,Tennessee,Region 2,31.86%,27.73%,36.29%,4
387,Tennessee,Region 3,33.31%,28.85%,38.09%,4
388,Tennessee,Region 4 (Davidson),30.00%,25.41%,35.02%,4
389,Tennessee,Region 5,31.74%,27.85%,35.91%,4
390,Tennessee,Region 6,36.83%,31.86%,42.10%,4
391,Tennessee,Region 7 (Shelby),33.42%,28.85%,38.32%,4
392,Texas,Texas,35.56%,34.26%,36.88%,3
393,Texas,Region 1,33.96%,30.04%,38.11%,4
394,Texas,Region 2,35.15%,30.32%,40.30%,4
395,Texas,Region 3,33.19%,31.18%,35.26%,4
396,Texas,Region 3a,34.49%,31.91%,37.16%,5
397,Texas,Region 3bc,30.91%,28.01%,33.97%,5
398,Texas,Region 4,37.02%,32.97%,41.27%,4
399,Texas,Region 5,37.17%,32.54%,42.06%,4
400,Texas,Region 6,34.40%,32.01%,36.87%,4
401,Texas,Region 6a,34.71%,32.13%,37.39%,5
402,Texas,Region 6bc,31.74%,27.26%,36.58%,5
403,Texas,Region 7,29.46%,26.92%,32.14%,4
404,Texas,Region 7a,28.77%,25.60%,32.15%,5
405,Texas,Region 7bcd,30.66%,27.08%,34.50%,5
406,Texas,Region 8,38.26%,35.07%,41.57%,4
407,Texas,Region 9,37.32%,32.74%,42.14%,4
408,Texas,Region 10,44.77%,40.59%,49.02%,4
409,Texas,Region 11,47.71%,44.56%,50.88%,4
410,Texas,Region 11abd,47.16%,43.08%,51.27%,5
411,Texas,Region 11c (Hidalgo),48.66%,44.27%,53.07%,5
412,Utah,Utah,32.76%,30.45%,35.15%,3
413,Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",32.53%,28.13%,37.27%,4
414,Utah,"Central, Four Corners, San Juan, and Southwest",34.65%,29.88%,39.76%,4
415,Utah,Davis County,30.47%,25.98%,35.37%,4
416,Utah,Salt Lake County,32.06%,28.88%,35.41%,4
417,Utah,Utah County,34.53%,30.48%,38.82%,4
418,Utah,"Weber, Morgan",32.58%,27.70%,37.86%,4
419,Vermont,Vermont,19.70%,17.56%,22.03%,3
420,Vermont,Champlain Valley,18.37%,15.70%,21.38%,4
421,Vermont,Rural Northeast,20.18%,16.67%,24.22%,4
422,Vermont,Rural Southeast,18.30%,15.09%,22.02%,4
423,Vermont,Rural Southwest,24.22%,20.28%,28.65%,4
424,Virginia,Virginia,25.44%,23.15%,27.88%,3
425,Virginia,Region 1,26.31%,22.43%,30.59%,4
426,Virginia,Region 2,26.61%,23.20%,30.32%,4
427,Virginia,Region 3,26.73%,22.78%,31.09%,4
428,Virginia,Region 4,24.00%,20.17%,28.30%,4
429,Virginia,Region 5,23.50%,20.09%,27.29%,4
430,Washington,Washington,18.79%,16.83%,20.91%,3
431,Washington,Region 1,21.90%,18.78%,25.38%,4
432,Washington,Greater Columbia and North Central,24.03%,20.09%,28.46%,5
433,Washington,Spokane,18.81%,15.18%,23.08%,5
434,Washington,Region 2,17.48%,15.17%,20.05%,4
435,Washington,King,17.54%,14.78%,20.70%,5
436,Washington,North Sound,17.36%,14.35%,20.85%,5
437,Washington,Region 3,18.55%,16.17%,21.20%,4
438,Washington,Peninsula,17.21%,13.53%,21.65%,5
439,Washington,Pierce,18.63%,15.37%,22.40%,5
440,Washington,SW WA and Timberlands,19.13%,15.64%,23.19%,5
441,Washington,Thurston-Mason,18.60%,14.75%,23.17%,5
442,West Virginia,West Virginia,33.51%,31.09%,36.01%,3
443,West Virginia,Region I,32.27%,27.06%,37.96%,4
444,West Virginia,Region II,31.07%,26.61%,35.91%,4
445,West Virginia,Region III,35.95%,30.52%,41.76%,4
446,West Virginia,Region IV,31.03%,27.15%,35.19%,4
447,West Virginia,Region V,33.78%,30.05%,37.73%,4
