Order,State,Substate Region,"Small 
Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
340,Oklahoma,Central,2.09%,1.61%,2.72%,4
341,Oklahoma,East Central,1.41%,1.09%,1.83%,4
342,Oklahoma,Northeast,1.51%,1.17%,1.94%,4
343,Oklahoma,Northwest and Southwest,1.70%,1.31%,2.21%,4
344,Oklahoma,Oklahoma County,1.84%,1.47%,2.31%,4
345,Oklahoma,Southeast,1.36%,1.07%,1.73%,4
346,Oklahoma,Tulsa County,2.21%,1.73%,2.83%,4
347,Oregon,Oregon,2.57%,2.25%,2.93%,3
348,Oregon,Region 1 (Multnomah),2.70%,2.14%,3.40%,4
349,Oregon,Region 2,3.00%,2.40%,3.75%,4
350,Oregon,Region 3,2.47%,2.02%,3.01%,4
351,Oregon,Region 4,2.20%,1.68%,2.88%,4
352,Oregon,Region 5 (Central),2.59%,1.90%,3.53%,4
353,Oregon,Region 6 (Eastern),1.98%,1.46%,2.68%,4
354,Pennsylvania,Pennsylvania,1.80%,1.65%,1.97%,3
355,Pennsylvania,Region 1 (Allegheny),1.75%,1.44%,2.13%,4
356,Pennsylvania,"Regions 3, 8, 9, and 51",1.79%,1.45%,2.20%,4
357,Pennsylvania,"Regions 4, 11, 37, and 49",1.80%,1.47%,2.20%,4
358,Pennsylvania,"Regions 5, 18, 23, 24, and 46",1.17%,0.93%,1.47%,4
359,Pennsylvania,"Regions 6, 12, 16, 31, 35, 45, and 47",1.98%,1.60%,2.46%,4
360,Pennsylvania,"Regions 7, 13, 20, and 33",2.21%,1.90%,2.57%,4
361,Pennsylvania,"Regions 10, 15, 27, 32, 43, and 44",1.53%,1.21%,1.93%,4
362,Pennsylvania,Regions 17 and 21,1.73%,1.33%,2.24%,4
363,Pennsylvania,"Regions 19, 26, 28, and 42",1.66%,1.40%,1.97%,4
364,Pennsylvania,"Regions 22, 38, 40, 41, and 48",1.20%,0.95%,1.51%,4
365,Pennsylvania,Regions 29 and 34,1.92%,1.51%,2.43%,4
366,Pennsylvania,Regions 30 and 50,1.42%,1.13%,1.78%,4
367,Pennsylvania,Region 36 (Philadelphia),2.23%,1.84%,2.69%,4
368,Rhode Island,Rhode Island,2.54%,2.20%,2.93%,3
369,Rhode Island,Bristol and Newport,2.68%,2.03%,3.53%,4
370,Rhode Island,Kent,2.27%,1.74%,2.95%,4
371,Rhode Island,Providence,2.40%,2.01%,2.87%,4
372,Rhode Island,Washington,3.55%,2.74%,4.58%,4
373,South Carolina,South Carolina,1.85%,1.63%,2.10%,3
374,South Carolina,Region 1,1.82%,1.50%,2.21%,4
375,South Carolina,Region 2,2.11%,1.72%,2.57%,4
376,South Carolina,Region 3,1.71%,1.38%,2.13%,4
377,South Carolina,Region 4,1.75%,1.42%,2.16%,4
378,South Dakota,South Dakota,1.46%,1.27%,1.69%,3
379,South Dakota,Region 1,1.72%,1.37%,2.15%,4
380,South Dakota,Region 2,1.78%,1.35%,2.35%,4
381,South Dakota,Region 3,1.37%,1.08%,1.73%,4
382,South Dakota,Region 4,1.46%,1.12%,1.89%,4
383,South Dakota,Region 5,1.25%,1.00%,1.56%,4
384,Tennessee,Tennessee,1.44%,1.26%,1.64%,3
385,Tennessee,Region 1,1.17%,0.90%,1.53%,4
386,Tennessee,Region 2,1.39%,1.10%,1.75%,4
387,Tennessee,Region 3,1.26%,0.99%,1.59%,4
388,Tennessee,Region 4 (Davidson),1.76%,1.35%,2.29%,4
389,Tennessee,Region 5,1.68%,1.35%,2.09%,4
390,Tennessee,Region 6,1.13%,0.85%,1.49%,4
391,Tennessee,Region 7 (Shelby),1.50%,1.16%,1.93%,4
392,Texas,Texas,1.64%,1.50%,1.80%,3
393,Texas,Region 1,1.78%,1.42%,2.23%,4
394,Texas,Region 2,1.43%,1.08%,1.89%,4
395,Texas,Region 3,1.63%,1.43%,1.86%,4
396,Texas,Region 3a,1.63%,1.38%,1.92%,5
397,Texas,Region 3bc,1.63%,1.36%,1.94%,5
398,Texas,Region 4,1.41%,1.13%,1.75%,4
399,Texas,Region 5,1.52%,1.19%,1.94%,4
400,Texas,Region 6,1.57%,1.36%,1.82%,4
401,Texas,Region 6a,1.57%,1.34%,1.83%,5
402,Texas,Region 6bc,1.65%,1.25%,2.17%,5
403,Texas,Region 7,2.04%,1.74%,2.38%,4
404,Texas,Region 7a,2.17%,1.78%,2.64%,5
405,Texas,Region 7bcd,1.84%,1.49%,2.27%,5
406,Texas,Region 8,1.66%,1.38%,1.98%,4
407,Texas,Region 9,1.86%,1.44%,2.42%,4
408,Texas,Region 10,1.63%,1.30%,2.04%,4
409,Texas,Region 11,1.47%,1.23%,1.75%,4
410,Texas,Region 11abd,1.56%,1.26%,1.93%,5
411,Texas,Region 11c (Hidalgo),1.32%,1.03%,1.69%,5
412,Utah,Utah,1.37%,1.19%,1.59%,3
413,Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",1.25%,0.97%,1.63%,4
414,Utah,"Central, Four Corners, San Juan, and Southwest",1.54%,1.15%,2.06%,4
415,Utah,Davis County,1.42%,1.09%,1.84%,4
416,Utah,Salt Lake County,1.43%,1.17%,1.74%,4
417,Utah,Utah County,1.29%,0.99%,1.69%,4
418,Utah,"Weber, Morgan",1.23%,0.93%,1.62%,4
419,Vermont,Vermont,2.79%,2.44%,3.17%,3
420,Vermont,Champlain Valley,3.71%,3.10%,4.44%,4
421,Vermont,Rural Northeast,2.49%,1.97%,3.14%,4
422,Vermont,Rural Southeast,2.36%,1.87%,2.98%,4
423,Vermont,Rural Southwest,1.76%,1.36%,2.27%,4
424,Virginia,Virginia,1.92%,1.69%,2.17%,3
425,Virginia,Region 1,1.85%,1.47%,2.32%,4
426,Virginia,Region 2,1.44%,1.15%,1.79%,4
427,Virginia,Region 3,2.08%,1.64%,2.62%,4
428,Virginia,Region 4,2.28%,1.80%,2.88%,4
429,Virginia,Region 5,2.25%,1.85%,2.75%,4
430,Washington,Washington,2.35%,2.07%,2.66%,3
431,Washington,Region 1,1.98%,1.62%,2.42%,4
432,Washington,Greater Columbia and North Central,1.82%,1.42%,2.34%,5
433,Washington,Spokane,2.26%,1.71%,2.99%,5
434,Washington,Region 2,2.43%,2.06%,2.85%,4
435,Washington,King,2.22%,1.82%,2.72%,5
436,Washington,North Sound,2.80%,2.24%,3.49%,5
437,Washington,Region 3,2.52%,2.15%,2.96%,4
438,Washington,Peninsula,2.18%,1.57%,3.01%,5
439,Washington,Pierce,2.93%,2.32%,3.69%,5
440,Washington,SW WA and Timberlands,2.16%,1.66%,2.80%,5
441,Washington,Thurston-Mason,2.77%,2.01%,3.82%,5
442,West Virginia,West Virginia,1.44%,1.26%,1.64%,3
443,West Virginia,Region I,1.35%,1.00%,1.81%,4
444,West Virginia,Region II,1.86%,1.44%,2.39%,4
445,West Virginia,Region III,1.08%,0.82%,1.43%,4
446,West Virginia,Region IV,1.75%,1.42%,2.17%,4
447,West Virginia,Region V,1.31%,1.07%,1.61%,4
448,West Virginia,Region VI,1.19%,0.95%,1.48%,4
449,Wisconsin,Wisconsin,1.92%,1.69%,2.18%,3
450,Wisconsin,Milwaukee,2.57%,2.02%,3.27%,4
451,Wisconsin,Northeastern,1.57%,1.26%,1.96%,4
452,Wisconsin,Northern,1.28%,0.96%,1.71%,4
453,Wisconsin,Southeastern,1.91%,1.52%,2.39%,4
454,Wisconsin,Southern,2.06%,1.65%,2.56%,4
